name1,name2,similarity
Bad Romance,Bohemian Rhapsody,4.121393901765056
Bad Romance,Hotel California,3.9277670543697623
Bad Romance,November Rain,3.5340999911080786
Bad Romance,Poker Face,1.336258554803494
Bad Romance,Shallow,1.5575636236611567
Bad Romance,Stairway to Heaven,4.166542828884107
Bad Romance,Sweet Child O' Mine,4.529177270611552
Bohemian Rhapsody,Hotel California,2.9693346569742083
Bohemian Rhapsody,November Rain,1.6199713763115846
Bohemian Rhapsody,Poker Face,4.084539682885547
Bohemian Rhapsody,Shallow,3.8737157461274982
Bohemian Rhapsody,Stairway to Heaven,1.5877282648276378
Bohemian Rhapsody,Sweet Child O' Mine,1.8561016886103656
Hotel California,November Rain,3.121841015613446
Hotel California,Poker Face,3.9764834946992607
Hotel California,Shallow,3.3810341598668265
Hotel California,Stairway to Heaven,2.054951675344153
Hotel California,Sweet Child O' Mine,1.5590568803150366
November Rain,Poker Face,3.4735320099603246
November Rain,Shallow,3.3660305340196888
November Rain,Stairway to Heaven,1.298762323550203
November Rain,Sweet Child O' Mine,2.463619438657501
Poker Face,Shallow,1.1727448635696993
Poker Face,Stairway to Heaven,4.101569443682665
Poker Face,Sweet Child O' Mine,4.3821398266642335
Shallow,Stairway to Heaven,3.7662487865556966
Shallow,Sweet Child O' Mine,4.064170850913894
Stairway to Heaven,Sweet Child O' Mine,1.4201915487210046
